lat,lon,day,month,year
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,28,5,1978
63.697157,-170.48167,10,6,1977
63.697157,-170.48167,12,11,1977
63.697157,-170.48167,15,10,1977
63.697157,-170.48167,,,
63.697157,-170.48167,11,10,1977
63.697157,-170.48167,,,
63.697157,-170.48167,9,2,1978
63.697157,-170.48167,6,10,1975
63.697157,-170.48167,,,
63.697157,-170.48167,,,
63.697157,-170.48167,20,9,1977
63.697157,-170.48167,22,10,1977
63.697157,-170.48167,,,
63.697157,-170.48167,,,
63.697157,-170.48167,,,
63.697157,-170.48167,4,9,1975
63.697157,-170.48167,1,10,1975
63.697157,-170.48167,1,11,1977
63.697157,-170.48167,15,10,1975
63.697157,-170.48167,1,11,1977
63.697157,-170.48167,4,10,1975
63.697157,-170.48167,12,10,1977
63.697157,-170.48167,11,6,1978
63.697157,-170.48167,7,9,1975
63.697157,-170.48167,,,
63.697157,-170.48167,17,10,1975
63.697157,-170.48167,8,10,1975
63.697157,-170.48167,15,10,1975
63.697157,-170.48167,,,
63.697157,-170.48167,25,5,1978
63.697157,-170.48167,5,10,1977
63.697157,-170.48167,7,10,1975
63.697157,-170.48167,9,10,1975
63.697157,-170.48167,31,10,1974
63.697157,-170.48167,4,10,1975
63.697157,-170.48167,3,10,1975
63.697157,-170.48167,5,10,1975
63.697157,-170.48167,1,10,1975
63.697157,-170.48167,5,10,1975
63.697157,-170.48167,3,12,1973
63.697157,-170.48167,12,11,1977
63.697157,-170.48167,,,
63.697157,-170.48167,,,
63.697157,-170.48167,15,10,1975
63.697157,-170.48167,2,10,1975
63.697157,-170.48167,12,9,1975
63.697157,-170.48167,1,10,1975
63.697157,-170.48167,31,10,1973
63.697157,-170.48167,19,6,1977
63.697157,-170.48167,10,6,1975
63.697157,-170.48167,4,6,1973
63.697157,-170.48167,1,10,1975
63.697157,-170.48167,,,
63.697157,-170.48167,1,10,1975
63.697157,-170.48167,1,10,1975
63.697157,-170.48167,5,7,1975
63.697157,-170.48167,2,9,1975
63.697157,-170.48167,2,9,1975
63.697157,-170.48167,1,11,1974
63.697157,-170.48167,6,11,1973
63.697157,-170.48167,12,9,1975
